week,yt_views,yt_subs,shorts_views,tiktok_views,ig_views,calls_booked,clients,mrr
2026-07-06,120,14,880,1400,300,0,0,0
2026-07-13,260,31,2100,3600,720,1,0,0
2026-07-20,410,55,3900,5200,1150,2,1,50
2026-07-27,380,68,4600,7300,1490,1,1,50
2026-08-03,720,96,8100,11200,2050,3,2,500
2026-08-10,910,124,9400,14800,2600,2,2,500
2026-08-17,1340,171,15200,21400,3800,4,3,1550
2026-08-24,1180,203,13800,19700,3400,3,3,1550
2026-08-31,1760,248,21500,28900,5100,5,4,2050
2026-09-07,2240,301,"26,800","34,100",6300,6,4,"2,100"
